Main Category,FSQ Category ID,Category Label
Amusement Park,10058,Arts and Entertainment > Amusement Park > Attraction
Amusement Park,10001,Arts and Entertainment > Amusement Park
Art Gallery,10004,Arts and Entertainment > Art Gallery
Movie Theater,10024,Arts and Entertainment > Movie Theater
Movie Theater,10025,Arts and Entertainment > Movie Theater > Drive-in Theater
Movie Theater,10026,Arts and Entertainment > Movie Theater > Indie Movie Theater
Museum,10028,Arts and Entertainment > Museum > Art Museum
Museum,10029,Arts and Entertainment > Museum > Erotic Museum
Museum,10030,Arts and Entertainment > Museum > History Museum
Museum,10031,Arts and Entertainment > Museum > Science Museum
Water Park,10055,Arts and Entertainment > Water Park
Zoo,10056,Arts and Entertainment > Zoo
Zoo,10068,Arts and Entertainment > Zoo > Zoo Exhibit
Health and Beauty Service (Male),11070,Business and Professional Services > Health and Beauty Service > Massage Clinic
Health and Beauty Service (Male),11062,Business and Professional Services > Health and Beauty Service > Barbershop
Health and Beauty Service (Female),11071,Business and Professional Services > Health and Beauty Service > Nail Salon
Health and Beauty Service (Female),11072,Business and Professional Services > Health and Beauty Service > Skin Care Clinic
Health and Beauty Service (Female),11073,Business and Professional Services > Health and Beauty Service > Spa
Health and Beauty Service (Female),11074,Business and Professional Services > Health and Beauty Service > Tanning Salon
Health and Beauty Service (Female),11067,Business and Professional Services > Health and Beauty Service > Hair Removal Service
Health and Beauty Service (Female),11064,Business and Professional Services > Health and Beauty Service > Hair Salon
Health and Beauty Service (Female),11070,Business and Professional Services > Health and Beauty Service > Massage Clinic
Bakery,13002,Dining and Drinking > Bakery
Cafe,13032,"Dining and Drinking > Cafe, Coffee, and Tea House"
Cafe,13033,"Dining and Drinking > Cafe, Coffee, and Tea House > Bubble Tea Shop"
Cafe,13034,"Dining and Drinking > Cafe, Coffee, and Tea House > Café"
Cafe,13035,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop"
Cafe,13036,"Dining and Drinking > Cafe, Coffee, and Tea House > Tea Room"
Cafe,13037,Dining and Drinking > Cafeteria
Restaurants,13066,Dining and Drinking > Restaurant > Afghan Restaurant
Restaurants,13067,Dining and Drinking > Restaurant > African Restaurant
Restaurants,13143,Dining and Drinking > Restaurant > African Restaurant > Ethiopian Restaurant
Restaurants,13301,Dining and Drinking > Restaurant > African Restaurant > Mauritian Restaurant
Restaurants,13068,Dining and Drinking > Restaurant > American Restaurant
Restaurants,13314,Dining and Drinking > Restaurant > American Restaurant > New American Restaurant
Restaurants,13071,Dining and Drinking > Restaurant > Armenian Restaurant
Restaurants,13072,Dining and Drinking > Restaurant > Asian Restaurant
Restaurants,13094,Dining and Drinking > Restaurant > Asian Restaurant > Burmese Restaurant
Restaurants,13096,Dining and Drinking > Restaurant > Asian Restaurant > Cambodian Restaurant
Restaurants,13099,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant
Restaurants,13100,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant > Anhui Restaurant
